pair_id,segment_id,suggested_class,manual_class,confidence,review_status,notes
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,1,vegetation_tree,vegetation_tree,medium,Not yet,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,2,vegetation_tree,vegetation_tree,medium,Not yet,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,3,vegetation_tree,vegetation_tree,medium,Not yet,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,4,unclear_ignore,unclear_ignore,low,Not yet,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,5,roof,roof,medium,Not yet,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,6,concrete_pavement,concrete_pavement,medium,Not yet,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,7,concrete_pavement,concrete_pavement,medium,Not yet,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,8,concrete_pavement,concrete_pavement,medium,Not yet,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,9,vegetation_tree,vegetation_tree,low,Not yet,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,10,roof,roof,medium,Not yet,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,11,roof,roof,medium,Not yet,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,12,unclear_ignore,unclear_ignore,low,Not yet,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,13,roof,roof,medium,Not yet,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,14,vegetation_tree,vegetation_tree,low,Not yet,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,15,roof,roof,medium,Not yet,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,16,vegetation_tree,vegetation_tree,low,Not yet,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,17,roof,roof,medium,Not yet,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,18,roof,roof,low,Not yet,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,19,vegetation_tree,vegetation_tree,low,Not yet,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,20,unclear_ignore,unclear_ignore,low,Not yet,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,21,roof,roof,medium,Not yet,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,22,vegetation_tree,vegetation_tree,low,Not yet,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,23,roof,roof,medium,Not yet,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,24,concrete_pavement,concrete_pavement,medium,Not yet,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,25,unclear_ignore,unclear_ignore,low,Not yet,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,26,vegetation_tree,vegetation_tree,low,Not yet,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,27,asphalt_road,asphalt_road,low,Not yet,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,28,roof,roof,medium,Not yet,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,29,roof,roof,medium,Not yet,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,30,roof,roof,medium,Not yet,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,31,roof,roof,medium,Not yet,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,32,roof,roof,medium,Not yet,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,33,concrete_pavement,concrete_pavement,medium,Not yet,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,34,vegetation_tree,vegetation_tree,low,Not yet,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,35,roof,roof,medium,Not yet,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,36,roof,roof,medium,Not yet,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,37,roof,roof,medium,Not yet,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,38,unclear_ignore,unclear_ignore,low,Not yet,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,39,vegetation_tree,vegetation_tree,medium,Not yet,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,40,vegetation_tree,vegetation_tree,medium,Not yet,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,41,concrete_pavement,concrete_pavement,medium,Not yet,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,42,unclear_ignore,unclear_ignore,low,Not yet,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,43,roof,roof,medium,Not yet,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,44,unclear_ignore,unclear_ignore,low,Not yet,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,45,unclear_ignore,unclear_ignore,low,Not yet,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,46,vegetation_tree,vegetation_tree,low,Not yet,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,47,roof,roof,medium,Not yet,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,48,vegetation_tree,vegetation_tree,medium,Not yet,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,49,vegetation_tree,vegetation_tree,medium,Not yet,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,50,vegetation_tree,vegetation_tree,low,Not yet,
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143344_0009,51,vegetation_tree,vegetation_tree,medium,Not yet,
