pair_id,image_id,segment_id,pixel_count,pixel_fraction,bbox_x_min,bbox_y_min,bbox_x_max,bbox_y_max,centroid_x,centroid_y,mean_r,mean_g,mean_b,mean_h,mean_s,mean_v,std_h,std_s,std_v,texture,compactness,codex_prefill_class,codex_prefill_confidence,codex_prefill_reason,prefill_version
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,1,7375,0.0225067138671875,0,0,166,81,86.3297627118644,28.136135593220338,108.7021255493164,123.18806457519531,117.07150268554688,0.4194038212299347,0.21852059662342072,0.5020296573638916,0.14203086495399475,0.11732608824968338,0.17640894651412964,0.14356374740600586,0.5385570322769095,vegetation_tree,medium,green or textured canopy-like segment,codex_draft_v1
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,2,2322,0.007086181640625,132,0,207,54,174.3910422049957,20.03402239448751,129.77029418945312,143.34275817871094,127.58293914794922,0.35399532318115234,0.1793854981660843,0.5678332448005676,0.12844812870025635,0.08830013126134872,0.1836088001728058,0.1625567525625229,0.5555023923444976,vegetation_tree,medium,green or textured canopy-like segment,codex_draft_v1
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,3,1822,0.005560302734375,195,0,251,49,222.86004390779362,20.533479692645443,60.55463409423828,81.570068359375,95.8520278930664,0.5509158372879028,0.40852805972099304,0.38208478689193726,0.07507472485303879,0.12262417376041412,0.0934072807431221,0.058894798159599304,0.639298245614035,vegetation_tree,low,cool-toned shaded canopy-like segment,codex_draft_v1
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,4,9851,0.0300628662109375,240,0,413,116,319.3465638006294,35.6368896558725,110.21560668945312,125.71673583984375,117.60651397705078,0.41033703088760376,0.20452362298965454,0.5058975219726562,0.1303594410419464,0.10754229873418808,0.16485360264778137,0.13519859313964844,0.4838883976815011,vegetation_tree,medium,green or textured canopy-like segment,codex_draft_v1
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,5,2529,0.0077178955078125,377,0,495,51,426.4610517991301,23.077500988533018,114.51529693603516,124.58893585205078,121.65401458740234,0.4326901137828827,0.1495063453912735,0.5021642446517944,0.14245504140853882,0.09054791182279587,0.14255696535110474,0.1256125271320343,0.40869424692954104,vegetation_tree,medium,green or textured canopy-like segment,codex_draft_v1
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,6,3077,0.0093902587890625,434,0,585,50,519.492687682808,19.842378940526487,123.07913970947266,133.32371520996094,122.95458984375,0.37326163053512573,0.1835189312696457,0.5364177227020264,0.15981940925121307,0.10050101578235626,0.16643226146697998,0.14012795686721802,0.3969298245614035,vegetation_tree,medium,green or textured canopy-like segment,codex_draft_v1
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,7,1407,0.0042938232421875,532,0,618,26,578.1087420042644,9.221748400852878,79.45262908935547,96.83723449707031,103.05255889892578,0.5078843235969543,0.31843048334121704,0.42382195591926575,0.12210656702518463,0.12586960196495056,0.1368945986032486,0.08846502751111984,0.598978288633461,unclear_ignore,low,ambiguous mixed segment; human review needed,codex_draft_v1
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,8,1753,0.0053497314453125,571,0,639,58,612.8996006845408,24.75812892184826,122.37984466552734,132.22413635253906,122.85973358154297,0.3671945631504059,0.1353030502796173,0.5247023701667786,0.12949858605861664,0.07866114377975464,0.1529226452112198,0.1406799703836441,0.43060673053303855,vegetation_tree,medium,green or textured canopy-like segment,codex_draft_v1
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,9,2836,0.00865478515625,428,16,514,73,470.68758815232724,42.71932299012694,91.69190216064453,106.10414123535156,111.59567260742188,0.4954414367675781,0.2524010241031647,0.4533452093601227,0.13083133101463318,0.12785737216472626,0.12924498319625854,0.09799730032682419,0.562029330162505,unclear_ignore,low,ambiguous mixed segment; human review needed,codex_draft_v1
20260107_Thermal_HKUST/DCIM/DJI_202601071424_001::DJI_20260107143259_0005,DJI_20260107143259_0005,10,1744,0.005322265625,0,18,54,76,21.077981651376145,44.8125,103.720703125,118.1393051147461,118.51538848876953,0.45947182178497314,0.22446110844612122,0.4918077886104584,0.13792431354522705,0.12185952812433243,0.16078943014144897,0.12413416057825089,0.537442218798151,vegetation_tree,medium,green or textured canopy-like segment,codex_draft_v1
